symbol,companyName,sector,marketCap,revenueGrowthYoY,earningsGrowthYoY,profitMargin,roe,debtToEquityRatio,qualityScore,finalScore
"COIN","Coinbase Global, Inc.","Financial Services","85410217925","111.17","2618.5","39.29","25.1","0.42","","75"
"DASH","DoorDash, Inc.","Communication Services","100855340857","24.17","122.04","1.15","1.58","0.07","","84"
"TKO","TKO Group Holdings, Inc.","Communication Services","14355678475","67.43","126.71","0.34","0.23","0.74","","82"
"DELL","Dell Technologies Inc.","Technology","82636346348","8.08","35.54","4.81","-309.85","-16.58","","80"
"WDAY","Workday, Inc.","Technology","63874410478","16.35","-61.91","6.23","5.82","0.37","","84"
"APO","Apollo Global Management, Inc.","Financial Services","80940695220","-20","-9.31","17.53","26.53","0.61","","84"
"LII","Lennox International Inc.","Industrials","21243330368","7.21","36.74","15.11","94.91","1.75","","82"
"EXE","Expand Energy Corporation","Energy","26460885010","-45.71","-129.52","-16.92","-4.06","0.33","","82"
"TPL","Texas Pacific Land Corporation","Energy","24566067764","11.75","11.91","64.32","40.09","","","82"
"WSM","Williams-Sonoma, Inc.","Consumer Cyclical","20810031620","-0.5","18.48","14.59","52.52","0.63","","84"
"PLTR","Palantir Technologies Inc.","Technology","295717078800","28.79","120.27","16.13","9.24","0.05","","84"
"GEV","GE Vernova Inc.","Utilities","138104983500","5.1","454.34","4.44","16.26","0.11","","80"
"CRWD","CrowdStrike Holdings, Inc.","Technology","122647463360","29.39","-121.57","-0.49","-0.59","0.24","","84"
"KKR","KKR & Co. Inc.","Financial Services","117965532900","51.09","-17.58","14.22","13.01","2.15","","80"
"VST","Vistra Corp.","Utilities","62810353200","16.54","78.1","15.44","47.74","3.12","","84"
"SW","Smurfit Westrock Plc","Consumer Cyclical","23934279040","69.41","-61.93","1.51","1.84","0.78","","79"
"GDDY","GoDaddy Inc.","Technology","25419859200","7.5","-31.85","20.49","135.37","5.59","","80"
"SOLV","Solventum Corporation","Healthcare","13475976339","0.7","-64.41","5.8","16.19","2.71","","84"
"ERIE","Erie Indemnity Company","Financial Services","16260872655","16.72","34.58","15.54","30.21","","","84"
"DECK","Deckers Outdoor Corporation","Consumer Cyclical","15750554400","16.28","27.19","19.38","38.44","0.11","","84"
"UBER","Uber Technologies, Inc.","Technology","192659492100","17.96","422.31","22.41","45.72","0.52","","82"
"VLTO","Veralto Corporation","Industrials","25430555016","3.43","-0.72","16.04","40.87","1.28","","84"
"BLDR","Builders FirstSource, Inc.","Industrials","14025458650","-4.08","-30.03","6.57","25.09","1.01","","84"
"LULU","Lululemon Athletica Inc.","Consumer Cyclical","28122372480","10.07","17.06","17.14","41.97","0.36","","84"
"ABNB","Airbnb, Inc.","Consumer Cyclical","84822553186","11.95","-44.74","23.85","31.48","0.27","","84"
"SMCI","Super Micro Computer, Inc.","Technology","28169809600","110.42","80.1","7.69","21.28","0.4","","80"
"BX","Blackstone Inc.","Financial Services","180258740988","52.91","99.62","24.41","33.81","1.5","","82"
"KVUE","Kenvue Inc.","Consumer Defensive","40260510603","0.07","-38.1","6.66","10.65","0.9","","84"
"JBL","Jabil Inc.","Technology","23201548300","-16.77","69.68","4.81","79.91","1.88","","84"
"HUBB","Hubbell Incorporated","Industrials","21909986026","4.76","2.37","13.82","23.8","0.53","","84"
"PANW","Palo Alto Networks, Inc.","Technology","131746344000","16.46","486.22","32.11","49.86","0.27","","82"
"GEHC","GE HealthCare Technologies Inc.","Healthcare","34776365750","0.61","27.1","10.13","23.6","1.11","","84"
"PODD","Insulet Corporation","Healthcare","21111766251","22.07","102.76","20.19","34.52","1.15","","82"
"FSLR","First Solar, Inc.","Energy","17476482240","26.75","55.52","30.72","16.2","0.09","","84"
"BG","Bunge Global S.A.","Consumer Defensive","10786001250","-10.8","-49.31","2.14","11.47","0.72","","84"
"STLD","Steel Dynamics, Inc.","Basic Materials","19322030370","-6.68","-37.28","8.76","17.2","0.36","","84"
"FICO","Fair Isaac Corporation","Technology","44866134606","13.48","19.43","29.86","-53.27","-2.33","","82"
"ACGL","Arch Capital Group Ltd.","Financial Services","34290082500","27.92","-2.95","24.72","20.71","0.13","","84"
"TRGP","Targa Resources Corp.","Energy","37305796040","2","-4.96","7.81","49.34","5.5","","82"
"AXON","Axon Enterprise, Inc.","Industrials","60363953304","33.21","116.4","18.1","16.2","0.31","","84"
"INVH","Invitation Homes Inc.","Real Estate","20092468220","7.67","-12.62","17.33","4.65","0.84","","84"
"KDP","Keurig Dr Pepper Inc.","Consumer Defensive","45594438300","3.62","-33.93","9.39","5.94","0.71","","84"
"CSGP","CoStar Group, Inc.","Real Estate","34556764170","11.45","-62.98","5.07","1.84","0.15","","84"
"VICI","VICI Properties Inc.","Real Estate","34850295800","6.57","6.58","69.59","10.09","0.67","","82"
"EQT","EQT Corporation","Energy","33355440720","3","-86.71","11.9","5.15","0.2","","84"
"WBD","Warner Bros. Discovery, Inc.","Communication Services","27066435200","-4.84","-261.84","-28.77","-33.23","1.16","","82"
"ON","ON Semiconductor Corporation","Technology","22398636000","-14.19","-27.98","22.21","17.88","0.38","","82"
