Ticker,Quality,Score,Quarterly_Count,Annual_Count,Latest_Quarterly,Data_Age_Months,Issues_Count,Top_Issue
AAPL,HIGH,100,23,8,2025-03-29,2,0,"None"
NVDA,LOW,11.666666666666657,0,0,N/A,N/A,3,"Revenues: Only 0 recent quarters available"
MSFT,HIGH,100,24,9,2025-03-31,2,0,"None"
GOOGL,HIGH,100,25,9,2025-03-31,2,0,"None"
AMZN,HIGH,100,23,9,2025-03-31,2,0,"None"
TSLA,HIGH,100,11,5,2025-03-31,2,0,"None"
META,MEDIUM,83.33333333333333,25,9,2025-03-31,2,0,"None"
BRK.B,FAILED,0,0,0,N/A,N/A,1,"Data validation failed: Ticker BRK.B not found in ..."
JNJ,MEDIUM,83.33333333333333,23,8,2025-03-30,2,0,"None"
V,MEDIUM,61.66666666666666,20,6,2025-03-31,2,1,"EarningsPerShareBasic: No quarterly data available"
JPM,LOW,58.33333333333333,20,18,2014-09-30,130,1,"Revenues: Only 0 recent quarters available"
WMT,MEDIUM,78.33333333333333,23,9,2025-04-30,1,1,"EarningsPerShareBasic: Only 0 recent quarters avai..."
UNH,HIGH,100,51,18,2025-03-31,2,0,"None"
PG,MEDIUM,66.66666666666666,24,11,2025-03-31,2,0,"None"
HD,HIGH,100,23,9,2025-05-04,1,0,"None"
MA,LOW,30.33333333333333,15,4,2022-09-30,33,5,"Revenues: Only 0 recent quarters available"
DIS,HIGH,100,22,8,2025-03-29,2,0,"None"
PYPL,LOW,55,10,4,2020-03-31,63,3,"Revenues: Only 0 recent quarters available"
BAC,HIGH,100,52,18,2025-03-31,2,0,"None"
ADBE,HIGH,100,51,18,2025-02-28,3,0,"None"
